"""","事業所数","淡水計(m3／日)","工業用水　道(m3／日)","上水道(m3／日)","井戸水(m3／日)","その他の淡水(m3／日)","回収水(m3／日)","海   水(m3／日)"
"平成24年(2012年)","344.0","1633409.0","440504.0","16505.0","40595.0","2731.0","1133074.0","1004355.0"
"平成25年(2013年)","349.0","1672703.0","439485.0","53184.0","42363.0","2605.0","1135066.0","1016394.0"
"","","","","","","","",""
"　食料品","70.0","56978.0","442.0","41377.0","15157.0","-","2.0","-"
"　飲料・たばこ・飼料","12.0","11576.0","4947.0","259.0","5548.0","-","822.0","-"
"　繊維工業","29.0","16482.0","7414.0","147.0","8845.0","-","76.0","-"
"　木材・木製品","7.0","136.0","-","136.0","-","-","-","-"
"　家具・装備品","5.0","71.0","-","31.0","40.0","-","-","-"
"　パルプ・紙・紙加工品","6.0","368.0","160.0","123.0","85.0","-","-","-"
"　印刷・同関連業","7.0","59.0","-","59.0","-","-","-","-"
"　化学工業","34.0","275286.0","30371.0","5357.0","7043.0","6.0","232509.0","-"
"　石油製品・石炭製品","5.0","224416.0","77106.0","67.0","-","2358.0","144885.0","250240.0"
"　プラスチック製品","21.0","3247.0","24.0","250.0","2973.0","-","-","-"
"　ゴム製品","7.0","2747.0","2115.0","616.0","16.0","-","-","-"
"　皮革・同製品・毛皮","1.0","x","-","x","x","-","-","-"
"　窯業・土石製品","8.0","2643.0","447.0","56.0","104.0","205.0","1831.0","-"
"　鉄　鋼","15.0","1070724.0","315353.0","439.0","1.0","-","754931.0","766154.0"
"　非鉄金属","6.0","164.0","65.0","99.0","-","-","-","-"
"　金属製品","30.0","1659.0","51.0","1422.0","140.0","36.0","10.0","-"
"　はん用機械器具","19.0","904.0","353.0","481.0","70.0","-","-","-"
"　生産用機械器具","27.0","2540.0","537.0","296.0","1707.0","-","-","-"
"　業務用機械器具","7.0","309.0","-","211.0","98.0","-","-","-"
"　電子・デバイス・電子回路","5.0","195.0","100.0","95.0","-","-","-","-"
"　電気機械器具","13.0","97.0","-","92.0","5.0","-","-","-"
"　情報通信機械器具","2.0","x","-","x","x","-","-","-"
"　輸送用機械器具","4.0","477.0","-","476.0","1.0","-","-","-"
"　その他の製造","9.0","1525.0","-","1045.0","480.0","-","-","-"
